"","spotify_id","name","followers","genres"
"80","3tJoFztHeIJkJWMrx0td2f","Moneybagg Yo",3141656,"['hip hop', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
"81","053q0ukIDRgzwTr4vNSwab","Grimes",1738631,"['art pop', 'canadian electropop', 'dance pop', 'grave wave', 'indietronica', 'metropopolis', 'pop']"
"82","6oMuImdp5ZcFhWP0ESe6mG","Migos",12531248,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
"83","0ONHkAv9pCAFxb0zJwDNTy","Pusha T",2551259,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'virginia hip hop']"
"84","699OTQXzgjhIYAHMy9RyPD","Playboi Carti",6914690,"['atl hip hop', 'plugg', 'pluggnb', 'rap']"
"85","65OtBLtkrifQrdTlKI90IR","Elijah Blake",215386,"['pop r&b', 'r&b', 'trap soul']"
"86","21LGsW7bziR4Ledx7WZ1Wf","Johnny Mathis",342429,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'vocal jazz']"
"87","7nDsS0l5ZAzMedVRKPP8F1","Ella Henderson",1431443,"['dance pop', 'neo mellow', 'pop', 'pop dance', 'talent show', 'tropical house', 'uk pop']"
"88","5AtWO8IEnjhRLzaVVQxFUs","SoMo",682315,"['dance pop', 'post-teen pop', 'r&b']"
"89","0YinUQ50QDB7ZxSCLyQ40k","Mustard",992953,"['cali rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
"90","3BmGtnKgCSGYIUhmivXKWX","Kelly Clarkson",9120840,"['dance pop', 'neo mellow', 'pop', 'post-teen pop', 'talent show', 'uk pop']"
"91","7FBcuc1gsnv6Y1nwFtNRCb","My Chemical Romance",7046498,"['emo', 'pop punk']"
"92","12j6dJrPXanCBwY599pZxf","Matt Maltese",251730,"['dream smp', 'indie anthem-folk', 'indie pop', 'modern rock', 'pop']"
"93","0tmwSHipWxN12fsoLcFU3B","Manuel Turizo",10307598,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
"94","1PbBg2aYjWLKRk84zJK15x","Echosmith",586365,"['indie poptimism']"
"95","6cK3NBO6uP7hh0oyuVELFl","Saweetie",1658482,"['cali rap', 'dance pop', 'pop', 'rap', 'trap queen']"
"96","521qvhdobR0GzhvU6TFw76","Tritonal",220430,"['edm', 'electro house', 'melodic dubstep', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'trance', 'tropical house', 'uplifting trance']"
"97","3KwmxIhSe9UTSEF37kwngR","SHAED",154146,"['electropop', 'pop']"
