"ego_spotify_id","alter_spotify_id", "alter_name", "alter_followers"
1WgXqy2Dd70QQOU7Ay074N,3NABmtfO8G8s96WFGhbR7F,Askjell,20246.0
1WgXqy2Dd70QQOU7Ay074N,59uotkhxqGCa7EpPXfRYpf,Mikael Knudsen Kanstad,5.0
1WgXqy2Dd70QQOU7Ay074N,5a5vu4RzsAHdKN0aYyblZ8,吳青峰,194677.0
1WgXqy2Dd70QQOU7Ay074N,5jOiYJPp5e84cnK2KO1aNz,iris,14397.0
1WgXqy2Dd70QQOU7Ay074N,4tc9NREea7ncB7JzqdBsj5,Sister Bliss,5367.0
1WgXqy2Dd70QQOU7Ay074N,6zLutmgjmoKvrsH5hyqNz1,Begüm Günceler,2345.0
1WgXqy2Dd70QQOU7Ay074N,4mncDFjVLUa3s025Tct3Ry,Claptone,441374.0
4YXycRbyyAE0wozTk7QMEq,5Nm4sZeWDNd1sOs5HcxAbl,Aaron Smith,10749.0
4YXycRbyyAE0wozTk7QMEq,55fhWPvDiMpLnE4ZzNXZyW,Noah Cyrus,1021256.0
4YXycRbyyAE0wozTk7QMEq,6c4sUNBgdonFJz8Kx2VsGz,Madcon,416181.0
4YXycRbyyAE0wozTk7QMEq,5pK858DFAWCmE2tM4jZxYC,Alex Ross,4460.0
4YXycRbyyAE0wozTk7QMEq,7kHe4uFK1KQFqMRP7td4mS,Bad Royale,26712.0
4YXycRbyyAE0wozTk7QMEq,6tCJN1fQNdFCEaOa8Da9Wf,JADED,24353.0
4YXycRbyyAE0wozTk7QMEq,62DmErcU7dqZbJaDqwsqzR,Popcaan,793612.0
4YXycRbyyAE0wozTk7QMEq,5YyGLejM00snCF1RJKlocJ,Nikki Vianna,8703.0
4YXycRbyyAE0wozTk7QMEq,7jZMxhsB8djyIbYmoiJSTs,Kiana Ledé,1351452.0
4YXycRbyyAE0wozTk7QMEq,4biyz3JBhm6L5AqQL6zZyn,Airwav,2090.0
4YXycRbyyAE0wozTk7QMEq,5KsRA81UaMVKvLNiwDySfp,Jonah Kagen,76667.0
4YXycRbyyAE0wozTk7QMEq,5rRcnWrevHgbuWjl7Lhft7,Merk & Kremont,93529.0
4YXycRbyyAE0wozTk7QMEq,6MLDcHrNh4OqxDZAjMt5pt,Ralph Tresvant,327658.0
4YXycRbyyAE0wozTk7QMEq,7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,10899955.0
4YXycRbyyAE0wozTk7QMEq,6cEuCEZu7PAE9ZSzLLc2oQ,R3HAB,2389551.0
4YXycRbyyAE0wozTk7QMEq,4kYGAK2zu9EAomwj3hXkXy,JP Cooper,791860.0
4YXycRbyyAE0wozTk7QMEq,5b9N3srQrmyRhKr3jtelpM,Truls,4569.0
4YXycRbyyAE0wozTk7QMEq,7waNCUQ1Ne7OoNHgqpgMZ7,Luis Figueroa,6548.0
4YXycRbyyAE0wozTk7QMEq,5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.,8025041.0
4YXycRbyyAE0wozTk7QMEq,7uMh23xWiuR7zsNkuNcm2G,MNEK,273144.0
4YXycRbyyAE0wozTk7QMEq,7gAppWoH7pcYmphCVTXkzs,The Vamps,5348800.0
4YXycRbyyAE0wozTk7QMEq,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,36163788.0
4YXycRbyyAE0wozTk7QMEq,67nwj3Y5sZQLl72VNUHEYE,Wale,3783379.0
4YXycRbyyAE0wozTk7QMEq,5lCekoJW9jNq01B1wiqdAb,Crankdat,68346.0
4YXycRbyyAE0wozTk7QMEq,5NDMothbpdpq2xHqSjrrWn,Faith Evans,1350539.0
4YXycRbyyAE0wozTk7QMEq,7dc6hUwyuIhrZdh80eaCEE,Fedde Le Grand,356117.0
4YXycRbyyAE0wozTk7QMEq,7pKGtXz21XIhXz1MfzbxNS,SDJM,14279.0
4YXycRbyyAE0wozTk7QMEq,53M4Iv2RkzzxFFvW2B1jhC,Breathe Carolina,348544.0
4YXycRbyyAE0wozTk7QMEq,5bzWtCkjIAMgN93gLt56SO,Tropkillaz,200300.0
4YXycRbyyAE0wozTk7QMEq,6ZXRsQeAoGPspf8tNeEtPo,Tom & Jame,63949.0
