"ego_spotify_id","alter_spotify_id"
4YXycRbyyAE0wozTk7QMEq,6MLDcHrNh4OqxDZAjMt5pt
4YXycRbyyAE0wozTk7QMEq,7qG3b048QCHVRO5Pv1T5lw
4YXycRbyyAE0wozTk7QMEq,6cEuCEZu7PAE9ZSzLLc2oQ
4YXycRbyyAE0wozTk7QMEq,4kYGAK2zu9EAomwj3hXkXy
4YXycRbyyAE0wozTk7QMEq,5b9N3srQrmyRhKr3jtelpM
4YXycRbyyAE0wozTk7QMEq,7waNCUQ1Ne7OoNHgqpgMZ7
4YXycRbyyAE0wozTk7QMEq,5me0Irg2ANcsgc93uaYrpb
4YXycRbyyAE0wozTk7QMEq,7uMh23xWiuR7zsNkuNcm2G
4YXycRbyyAE0wozTk7QMEq,7gAppWoH7pcYmphCVTXkzs
4YXycRbyyAE0wozTk7QMEq,6M2wZ9GZgrQXHCFfjv46we
4YXycRbyyAE0wozTk7QMEq,67nwj3Y5sZQLl72VNUHEYE
4YXycRbyyAE0wozTk7QMEq,5lCekoJW9jNq01B1wiqdAb
4YXycRbyyAE0wozTk7QMEq,5NDMothbpdpq2xHqSjrrWn
4YXycRbyyAE0wozTk7QMEq,7dc6hUwyuIhrZdh80eaCEE
4YXycRbyyAE0wozTk7QMEq,7pKGtXz21XIhXz1MfzbxNS
4YXycRbyyAE0wozTk7QMEq,53M4Iv2RkzzxFFvW2B1jhC
4YXycRbyyAE0wozTk7QMEq,5bzWtCkjIAMgN93gLt56SO
4YXycRbyyAE0wozTk7QMEq,6ZXRsQeAoGPspf8tNeEtPo
4YXycRbyyAE0wozTk7QMEq,6mPZJXtFVaakznkRxdgWtC
4YXycRbyyAE0wozTk7QMEq,5mYakBbBzPMQTfkVMIgiDM
4YXycRbyyAE0wozTk7QMEq,4bazJLWIv8CuqmgxJRiGqo
4YXycRbyyAE0wozTk7QMEq,6TXM1kV4L8DsDAkAfbOPYk
4YXycRbyyAE0wozTk7QMEq,4zTLrRqcBmj7ZDuLUrKBL1
4YXycRbyyAE0wozTk7QMEq,5WdqBAQhGFCrZvBKXiPIu7
4YXycRbyyAE0wozTk7QMEq,7mWMzxN6IAIQ1tfFFtAiQv
4YXycRbyyAE0wozTk7QMEq,743a54vYBks5izSpJdWOSc
4YXycRbyyAE0wozTk7QMEq,5v8ZROs9c26k4yGMxUkebt
4YXycRbyyAE0wozTk7QMEq,6ly2Z6h9dOerORbK1l2N8D
4YXycRbyyAE0wozTk7QMEq,4gxmaAX3cWO9PUVmEYVAhd
4YXycRbyyAE0wozTk7QMEq,7MdlXmq2HViAJWo9cf30sR
4YXycRbyyAE0wozTk7QMEq,5uEeqYFuIChoWKy34jp8xE
4YXycRbyyAE0wozTk7QMEq,5YMqwPmb7ViNXM63g1MUH5
4YXycRbyyAE0wozTk7QMEq,7hJcb9fa4alzcOq3EaNPoG
4YXycRbyyAE0wozTk7QMEq,7AzjETXRUKNRSJHMW9GIqd
4YXycRbyyAE0wozTk7QMEq,4iaTgZRy5aVnImDyRJn61n
4YXycRbyyAE0wozTk7QMEq,6T56xtTEllGW17snjAZLNP
4YXycRbyyAE0wozTk7QMEq,4gzpq5DPGxSnKTe4SA8HAU
4YXycRbyyAE0wozTk7QMEq,5lzHwZFme9EybZygeGKMA0
4YXycRbyyAE0wozTk7QMEq,5M0lbkGluOPXLeFjApw8r8
4YXycRbyyAE0wozTk7QMEq,4jQF2fKZDX6pQIPWwsNWyp
4YXycRbyyAE0wozTk7QMEq,6CoTYzOyg2NW2OUEFaSTxO
4YXycRbyyAE0wozTk7QMEq,5pCzC0BOLY2MpqYr1qksg2
4YXycRbyyAE0wozTk7QMEq,6YHEMoNPbcheiWS2haGzkn
4YXycRbyyAE0wozTk7QMEq,5fiYAV2DWASxAUKDq7Gbe9
4YXycRbyyAE0wozTk7QMEq,77AiFEVeAVj2ORpC85QVJs
4YXycRbyyAE0wozTk7QMEq,4kwEd1P9j15ZqUVP5zK7Pv
4YXycRbyyAE0wozTk7QMEq,6i1GVNJCyyssRwXmnaeEFH
4YXycRbyyAE0wozTk7QMEq,6MDME20pz9RveH9rEXvrOM
4YXycRbyyAE0wozTk7QMEq,4bL2B6hmLlMWnUEZnorEtG
4YXycRbyyAE0wozTk7QMEq,61ipISvUVa5LkJlKZnm3Oo
4YXycRbyyAE0wozTk7QMEq,7hOGhpa8RMSuDOWntGIAJt
4YXycRbyyAE0wozTk7QMEq,7xEFii6utZmQ61kX59HmLH
360IAlyVv4PCEVjgyMZrxK,5CiGnKThu5ctn9pBxv7DGa
360IAlyVv4PCEVjgyMZrxK,6ueGR6SWhUJfvEhqkvMsVs
360IAlyVv4PCEVjgyMZrxK,7kNqXtgeIwFtelmRjWv205
360IAlyVv4PCEVjgyMZrxK,5XenQ7XfcvQdfIbpLEFaKQ
360IAlyVv4PCEVjgyMZrxK,5INjqkS1o8h1imAzPqGZBb
360IAlyVv4PCEVjgyMZrxK,4LLpKhyESsyAXpc4laK94U
360IAlyVv4PCEVjgyMZrxK,4AGwPDdh1y8hochNzHy5HC
360IAlyVv4PCEVjgyMZrxK,6olWbKW2VLhFCHfOi0iEDb
360IAlyVv4PCEVjgyMZrxK,3iN9k8uvm4WrgdlOigOH8D
360IAlyVv4PCEVjgyMZrxK,3ipn9JLAPI5GUEo4y4jcoi
360IAlyVv4PCEVjgyMZrxK,4iHNK0tOyZPYnBU7nGAgpQ
360IAlyVv4PCEVjgyMZrxK,6DgP9otnZw5z6daOntINxp
360IAlyVv4PCEVjgyMZrxK,5eKqhPrKad0J9xGAtq3rW7
360IAlyVv4PCEVjgyMZrxK,67nwj3Y5sZQLl72VNUHEYE
360IAlyVv4PCEVjgyMZrxK,4qBgvVog0wzW75IQ48mU7v
360IAlyVv4PCEVjgyMZrxK,5fMUXHkw8R8eOP2RNVYEZX
360IAlyVv4PCEVjgyMZrxK,7lsnwlX6puQ7lcpSEpJbZE
360IAlyVv4PCEVjgyMZrxK,3DiDSECUqqY1AuBP8qtaIa
360IAlyVv4PCEVjgyMZrxK,5eIbEEQnDM8yuDVB0bimSP
360IAlyVv4PCEVjgyMZrxK,5gznATMVO85ZcLTkE9ULU7
360IAlyVv4PCEVjgyMZrxK,6wcHZUQ0rNcvv35os6xUQA
360IAlyVv4PCEVjgyMZrxK,6GI52t8N5F02MxU0g5U69P
360IAlyVv4PCEVjgyMZrxK,6l3HvQ5sa6mXTsMTB19rO5
360IAlyVv4PCEVjgyMZrxK,7bXgB6jMjp9ATFy66eO08Z
